train_loss,val_loss
5.107806622982025146e-02,5.936556309461593628e-02
4.772357083857059479e-02,5.750790610909461975e-02
4.510645940899848938e-02,5.780787020921707153e-02
4.158226959407329559e-02,5.714892223477363586e-02
3.898364119231700897e-02,5.249565467238426208e-02
3.347782418131828308e-02,4.398487508296966553e-02
2.788785751909017563e-02,3.379399329423904419e-02
2.173332870006561279e-02,2.363921143114566803e-02
1.751217152923345566e-02,1.841075904667377472e-02
1.638691499829292297e-02,1.865687407553195953e-02
1.649826858192682266e-02,1.869668439030647278e-02
1.552092749625444412e-02,1.595079712569713593e-02
1.324055436998605728e-02,1.376617792993783951e-02
1.210970990359783173e-02,1.536593027412891388e-02
1.125312549993395805e-02,1.514771394431591034e-02
1.099838875234127045e-02,1.402437221258878708e-02
1.084181433543562889e-02,1.331157144159078598e-02
1.141137070953845978e-02,1.210012100636959076e-02
1.077596144750714302e-02,1.099068578332662582e-02
1.051469799131155014e-02,1.057739462703466415e-02
9.601866360753774643e-03,1.020957622677087784e-02
9.834742639213800430e-03,1.045462954789400101e-02
1.012667082250118256e-02,1.000868156552314758e-02
9.541816543787717819e-03,1.050653215497732162e-02
9.994297288358211517e-03,9.899130091071128845e-03
9.634778369218111038e-03,1.025921199470758438e-02
1.000749226659536362e-02,9.789484553039073944e-03
9.661708027124404907e-03,1.019889395684003830e-02
9.826602414250373840e-03,9.860288351774215698e-03
9.916122537106275558e-03,9.989160113036632538e-03
9.417986031621694565e-03,9.956182911992073059e-03
9.420973248779773712e-03,9.963104501366615295e-03
9.377910755574703217e-03,1.003855466842651367e-02
9.621711447834968567e-03,9.975358843803405762e-03
8.983430918306112289e-03,1.005988288670778275e-02
9.524918161332607269e-03,9.963957592844963074e-03
9.464348200708627701e-03,9.888943284749984741e-03
9.716003201901912689e-03,9.954914450645446777e-03
9.400764480233192444e-03,9.937233291566371918e-03
9.676861111074686050e-03,9.812101721763610840e-03
9.736256208270788193e-03,9.995479136705398560e-03
1.036134734749794006e-02,9.874009527266025543e-03
9.303804021328687668e-03,1.031461823731660843e-02
1.018152758479118347e-02,9.957003407180309296e-03
9.499389678239822388e-03,1.009157672524452209e-02
9.558641351759433746e-03,9.925032034516334534e-03
9.504143614321947098e-03,9.933853521943092346e-03
9.870458859950304031e-03,1.011120062321424484e-02
9.350837673991918564e-03,9.879543446004390717e-03
9.588434826582670212e-03,9.982815012335777283e-03
9.486487135291099548e-03,9.784442372620105743e-03
9.514708071947097778e-03,9.822738356888294220e-03
9.474618826061487198e-03,9.648498147726058960e-03
